Pit,Team,Team Name,Time,Table,Time,Table,Time,Table,Time,Room,Time,Place,Time,Room
29,74,CAK Warriors,0.409722222,Purple 2,0.440972222,Gold 1,0.607638889,Purple 1,0.489583333,Room 204,0.510416667,Table A,0.53125,Room 108
1,336,Atomic Eagles,0.479166667,Gold 2,0.517361111,Purple 1,0.583333333,Gold 1,0.40625,Room 204,0.427083333,Table A,0.447916667,Room 108
30,1562,CPA Robotics,0.409722222,Purple 4,0.440972222,Gold 3,0.607638889,Purple 2,0.489583333,Room 205,0.510416667,Table B,0.53125,Room 114
15,3131,RadioActive Brix,0.489583333,Purple 1,0.520833333,Gold 4,0.59375,Purple 3,0.4375,Room 208,0.458333333,Table C,0.416666667,Room 205
10,3132,Master Builders,0.486111111,Gold 4,0.524305556,Purple 3,0.590277778,Gold 2,0.427083333,Room 205,0.447916667,Table B,0.40625,Room 114
4,3199,Lego Jedi Council,0.479166667,Gold 3,0.517361111,Purple 2,0.583333333,Gold 4,0.40625,Room 209,0.427083333,Table D,0.447916667,Room 214
37,3832,Disco Robots,0.416666667,Purple 2,0.447916667,Gold 1,0.614583333,Purple 1,0.510416667,Room 204,0.53125,Gold 4,0.489583333,Room 108
6,9532,NX36T Gen3,0.482638889,Purple 4,0.513888889,Gold 3,0.586805556,Purple 2,0.416666667,Room 205,0.4375,Table B,0.458333333,Room 114
17,12471,Eastview WiredCats,0.493055556,Gold 2,0.53125,Purple 1,0.597222222,Gold 1,0.447916667,Room 204,0.40625,Table A,0.427083333,Room 108
18,12472,Block Jocks,0.493055556,Gold 4,0.53125,Purple 3,0.597222222,Gold 2,0.447916667,Room 205,0.40625,Table B,0.427083333,Room 114
31,18081,The Elite Engineers,0.409722222,Purple 1,0.440972222,Gold 4,0.607638889,Purple 3,0.489583333,Room 208,0.510416667,Table C,0.53125,Room 205
32,18165,Atomic Peppers,0.409722222,Purple 3,0.440972222,Gold 2,0.607638889,Purple 4,0.489583333,Room 209,0.510416667,Table D,0.53125,Room 214
19,19707,Raptors Robotics,0.493055556,Gold 1,0.53125,Purple 4,0.597222222,Gold 3,0.447916667,Room 208,0.40625,Table C,0.427083333,Room 205
7,20835,PythoKnights,0.482638889,Purple 1,0.513888889,Gold 4,0.586805556,Purple 3,0.416666667,Room 208,0.4375,Table C,0.458333333,Room 205
8,24791,Christ Transformers,0.482638889,Purple 3,0.513888889,Gold 2,0.586805556,Purple 4,0.416666667,Room 209,0.4375,Table D,0.458333333,Room 214
33,25186,Greeneville Mind Stormers,0.413194444,Gold 2,0.451388889,Purple 1,0.611111111,Gold 1,0.5,Room 204,0.520833333,Table A,0.479166667,Room 108
